Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
HSS,HSS9X9X.625,HSS9X9X5/8,F,67.82,18.7,–,–,9,7.26,–,–,–,9,7.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,12.5,–,12.5,–,216,58.1,47.9,3.4,216,58.1,47.9,3.4
HSS,HSS9X9X.500,HSS9X9X1/2,F,55.66,15.3,–,–,9,7.6,–,–,–,9,7.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,183,48.4,40.6,3.45,183,48.4,40.6,3.45
HSS,HSS9X9X.375,HSS9X9X3/8,F,42.79,11.8,–,–,9,7.95,–,–,–,9,7.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,22.8,–,22.8,–,145,37.8,32.2,3.51,145,37.8,32.2,3.51
HSS,HSS9X9X.313,HSS9X9X5/16,F,36.1,9.92,–,–,9,8.13,–,–,–,9,8.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,27.9,–,27.9,–,124,32.1,27.6,3.54,124,32.1,27.6,3.54
HSS,HSS9X9X.250,HSS9X9X1/4,F,29.23,8.03,–,–,9,8.3,–,–,–,9,8.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,35.6,–,35.6,–,102,26.2,22.7,3.56,102,26.2,22.7,3.56
HSS,HSS9X9X.188,HSS9X9X3/16,F,22.18,6.06,–,–,9,8.48,–,–,–,9,8.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,48.7,–,48.7,–,78.2,20,17.4,3.59,78.2,20,17.4,3.59
HSS,HSS9X9X.125,HSS9X9X1/8,F,14.96,4.09,–,–,9,8.65,–,–,–,9,8.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,74.6,–,74.6,–,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62
HSS,HSS8X8X.625,HSS8X8X5/8,F,59.32,16.4,–,–,8,6.26,–,–,–,8,6.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,10.8,–,10.8,–,146,44.7,36.5,2.99,146,44.7,36.5,2.99
HSS,HSS8X8X.500,HSS8X8X1/2,F,48.85,13.5,–,–,8,6.6,–,–,–,8,6.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,125,37.5,31.2,3.04,125,37.5,31.2,3.04
HSS,HSS8X8X.375,HSS8X8X3/8,F,37.69,10.4,–,–,8,6.95,–,–,–,8,6.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,19.9,–,19.9,–,100,29.4,24.9,3.1,100,29.4,24.9,3.1
HSS,HSS8X8X.313,HSS8X8X5/16,F,31.84,8.76,–,–,8,7.13,–,–,–,8,7.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,24.5,–,24.5,–,85.6,25.1,21.4,3.13,85.6,25.1,21.4,3.13
HSS,HSS8X8X.250,HSS8X8X1/4,F,25.82,7.1,–,–,8,7.3,–,–,–,8,7.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,31.3,–,31.3,–,70.7,20.5,17.7,3.15,70.7,20.5,17.7,3.15
HSS,HSS8X8X.188,HSS8X8X3/16,F,19.63,5.37,–,–,8,7.48,–,–,–,8,7.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,43,–,43,–,54.4,15.7,13.6,3.18,54.4,15.7,13.6,3.18
HSS,HSS8X8X.125,HSS8X8X1/8,F,13.26,3.62,–,–,8,7.65,–,–,–,8,7.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,66,–,66,–,37.4,10.7,9.34,3.21,37.4,10.7,9.34,3.21
HSS,HSS7X7X.625,HSS7X7X5/8,F,50.81,14,–,–,7,5.26,–,–,–,7,5.26,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,9.05,–,9.05,–,93.4,33.1,26.7,2.58,93.4,33.1,26.7,2.58
HSS,HSS7X7X.500,HSS7X7X1/2,F,42.05,11.6,–,–,7,5.6,–,–,–,7,5.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,12.1,–,12.1,–,80.5,27.9,23,2.63,80.5,27.9,23,2.63
HSS,HSS7X7X.375,HSS7X7X3/8,F,32.58,8.97,–,–,7,5.95,–,–,–,7,5.95,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,17.1,–,17.1,–,65,22.1,18.6,2.69,65,22.1,18.6,2.69
HSS,HSS7X7X.313,HSS7X7X5/16,F,27.59,7.59,–,–,7,6.13,–,–,–,7,6.13,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,21.1,–,21.1,–,56.1,18.9,16,2.72,56.1,18.9,16,2.72
HSS,HSS7X7X.250,HSS7X7X1/4,F,22.42,6.17,–,–,7,6.3,–,–,–,7,6.3,–,–,–,–,–,–,–,0.25,0.233,–,–,–,–,–,–,–,–,–,–,27,–,27,–,46.5,15.5,13.3,2.75,46.5,15.5,13.3,2.75
