,B,C,D,E
min,0.0,50862.884427788595,2123.582755435963,2302.0085393754644
25%,0.0,88683.55906938201,98965.9763649524,5135.684530881149
50%,0.0,102294.83997687891,131504.31930428217,6815.421839764231
75%,0.0,119148.63642165666,169227.07516854006,8882.60971812049
max,13864.31739195492,398770.96701357944,316919.2538184133,43843.504151245674
count,996.0,996.0,996.0,996.0
mean,197533.33321103707,291840.6292335856,176899.28686356923,8111.264726949525
std,75471.28995411334,62771.987720701014,51218.53290089694,3848.680782956489
min,14622.358564544891,133760.50247244502,47784.025703301646,2377.5029472602364
25%,140172.83757516352,247026.87091323017,143019.5815403201,5741.867180740722
50%,190066.13235966774,287855.3501766621,174437.604588422,7264.125059604823
75%,245750.22757953993,331712.79121286224,208653.40431786637,9545.90029404424
max,484779.2548837844,670899.1056332622,423793.7479223512,52149.779023669915
count,1000.0,1000.0,1000.0,1000.0
mean,8259.14861751155,183586.07519642785,221227.67454755228,7735.6071185469555
std,15154.286493759702,45406.871867015354,51868.76402525152,3507.919115641149
min,0.0,88600.64013807393,44655.790558207096,2245.5734825980044
25%,1420.4389661970563,152264.11354325968,185387.80839782304,5325.664275352454
50%,3912.185220967639,177879.4083521419,220323.31737656886,7101.258495104241
75%,8145.602226203668,207378.44993397687,253169.56017390458,9296.676290011404
max,244540.56551714314,430378.99268669746,425010.19904045126,37132.92472660652
count,1000.0,1000.0,1000.0,1000.0
mean,31414.788757598693,193723.64502628075,215293.75676677385,7439.138051291316
std,50317.209391684424,49931.03785755499,54492.441771408274,3382.76274506303
min,195.10666151997333,97900.91269417966,86631.01326033311,2176.7912233857237
25%,9931.210303852373,157699.58242516816,175166.34503242993,5133.114569911397
50%,18234.829345305356,188077.79745482202,213391.2432148884,6807.627490595916
75%,37712.66403526699,221541.27316146504,249713.86568501318,8997.049936795043
max,907852.3976241673,671736.6273661643,408341.8372472167,32341.235919449486
count,1000.0,1000.0,1000.0,1000.0
mean,3636.8842129620975,153344.75359951504,170908.52920496988,7912.633104959585
std,7871.529339445931,40471.72782423309,50210.31305685834,3781.7635664441054
min,0.0,76243.07911385341,10441.627020163363,2092.8833182761737
25%,0.0,127663.14035736142,133947.7244660679,5496.167944244396
50%,1393.5984602989715,146721.78032347013,167585.9085031239,7085.146671841167
75%,3785.48356003063,173083.114746146,206488.9942237002,9338.445640489344
max,118933.83616594947,626453.112034047,428740.071843751,51730.83509286454
count,1000.0,1000.0,1000.0,1000.0
mean,724.016035302639,59354.60252449279,207258.68797444386,7288.290737448832
std,2967.9897834669487,22322.67952162367,50447.34707247262,3569.4669747479097
min,0.0,21407.27482613472,56316.80924490583,1834.7003301405327
25%,0.0,47050.021004127906,172485.73600050237,4948.181876195318
50%,0.0,55434.96710094171,208291.75588533573,6560.1223764175775
75%,0.0,66788.72419744972,237659.1237960834,8650.053423542087
max,41625.28770821124,442050.9330349749,413636.9657731781,36860.305104499006
count,1000.0,1000.0,1000.0,1000.0
mean,20457.12452020809,220185.05352815337,234958.97203661027,7259.019952628214
std,26123.393140240776,60808.71785140069,54228.711594319786,3341.5345720742093
min,0.0,93766.11273843709,78284.6334247526,2163.1415081940263
25%,6410.73674829568,177856.28181374536,197648.17218708136,4980.405699583234
50%,12194.146748654846,213441.57921682336,230910.00736547407,6606.218436514645
75%,25144.362719474786,249939.2999313199,271409.5918655013,8533.354733051661
max,380584.90589990985,677403.8000251853,435951.3237324446,31667.09616305932
count,1000.0,1000.0,1000.0,1000.0
mean,19737.912712579015,218742.89213727004,215495.48518371794,7922.50882236145
std,23285.359067873236,57403.314544396686,51935.830349856704,3735.015934402164
min,0.0,98626.1030354419,64377.53840292512,2778.6632967453806
25%,6139.304901226838,176115.60907980247,178052.62153133022,5609.98072992297
50%,11853.40403683452,209862.31930914734,213876.7501947914,7173.92141005902
75%,24862.438176283395,251717.69758270483,250106.0324615505,9399.250084421063
max,343410.38247556257,453614.0639726824,415439.6840415005,65950.44319491787
count,1000.0,1000.0,1000.0,1000.0
mean,9779.16421024931,189664.94430974984,151438.24798756785,6781.511827711641
std,13724.491389518484,44827.34294502293,51148.510666058755,3110.7354198395083
min,0.0,89270.81128682158,3845.1875776808056,1728.583611673225
25%,2262.0864364100207,157467.83132268817,115537.96317877561,4629.736878688092
50%,5187.809919266028,183760.2938446126,149853.4054274701,6223.083225472483
75%,10637.314345195926,215681.8671789548,185530.3292708745,8144.46081335413
max,116239.51830159551,373416.9048378441,401974.64631509123,30771.731577768685
count,1000.0,1000.0,1000.0,1000.0
mean,6839.722470838985,177223.0530992757,119328.00436841881,7285.488838971308
std,11108.980944902962,44042.55914897262,49934.677241750986,3594.8931931420266
min,0.0,84940.82110467562,0.0,1982.0735923680193
25%,1199.9103284547386,145210.23075281817,84093.574213043,5006.856568453227
50%,3309.6522539533835,172380.87832521385,115963.90857183395,6497.562535867515
75%,6790.644661002396,200977.25410036294,154897.9931709086,8695.914474405705
max,98627.53022016372,474058.43892049603,269412.3105613456,48465.64740338494
count,974.0,974.0,974.0,974.0
mean,380758.6697640303,371664.55469585565,267397.0153096749,6596.100305424777
std,95778.05057229014,64901.748822302936,60387.76063008724,3111.715175018264
min,96483.17136010456,224912.1590620541,113320.67898101539,1522.7675011112046
25%,313019.9603287366,327043.23739549157,226505.50730423932,4485.4528726896815
50%,375745.21045294974,369022.95581771625,262976.70399350626,5946.216164818587
75%,438727.3521066442,407790.3781711088,304860.98328158335,8031.795324346889
max,926272.1961809604,782443.6694869951,494401.89935721195,26841.13426710083
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,3729.799948234708,166119.51894584956,151634.711075683,7242.990124482345
std,8064.5832560135,41198.94792261804,50199.01638826664,3582.3848802143134
min,0.0,81696.49234560507,16154.569692509438,1982.0735923680193
25%,0.0,138572.06392589642,116827.33487271336,4982.62990510922
50%,1459.0008096607976,160911.00356390583,150282.3165949895,6457.3076041184795
75%,3766.6119308573607,187511.2389472177,183501.8436125146,8602.709980233698
max,83503.18233007414,536768.2646121243,347607.25622377987,48465.64740338494
count,1000.0,1000.0,1000.0,1000.0
mean,2239.091031786412,125027.49580140962,209258.81847491377,7044.653023588629
std,6577.714204132172,33952.886690989486,53590.679698658605,3154.3596327959604
min,0.0,58397.27649227314,29820.82054497536,2029.6278021701778
25%,0.0,103609.64425758793,172180.98607701983,4838.113841505827
50%,0.0,119748.65180919509,207961.49367340584,6280.174199212923
75%,1797.3531936146965,138352.2404630922,244367.60618895467,8417.55268137547
max,71537.51782259131,462525.4723181059,448169.10144938563,28341.731647783385
count,999.0,999.0,999.0,999.0
mean,153637.01691234272,399276.9659391041,389503.66366283566,6889.602322767995
std,87769.35168141146,76987.55379444199,74307.65739198688,3225.7947957406736
min,22679.980418689942,239295.64891962512,187814.97636140801,2049.361328850946
25%,97260.68282758874,348513.537400516,339019.11834208935,4743.480757455218
50%,144233.25128078647,392328.51214689895,382535.56297374115,6253.592187088471
75%,189882.6485735699,442273.24761382747,435875.7701671222,8288.610522786465
max,1603711.3448017868,1335179.4314268306,707198.8945700654,29280.356687241107
count,1000.0,1000.0,1000.0,1000.0
mean,98.82768791454401,73070.00708638612,184940.4690569763,6230.577113068104
std,857.2623406868958,21373.23601074618,53876.1073223539,2887.933890075617
min,0.0,33755.95054550851,35388.46789635488,1565.9478647766834
25%,0.0,59118.48328845807,148313.33945447652,4306.998160125358
50%,0.0,69560.5976600771,182951.47952181607,5619.340397529168
75%,0.0,82233.69957751749,220313.98352637573,7504.026509955762
max,21812.471083876455,273786.2216520139,392847.22114765807,30888.235133454516
count,1000.0,1000.0,1000.0,1000.0
mean,26466.829816764293,217255.36139101957,177304.21235646072,6423.793354937954
std,24959.073072199204,54113.66316726641,51862.01700818578,3048.08149361758
min,0.0,90051.31103805633,52718.93578102212,1895.702794905354
25%,9289.492777712552,177428.2979684534,140096.70221513315,4366.076067128044
50%,17377.996380189594,210215.5551612206,176352.83357216473,5824.307797493163
75%,35777.488082158634,247950.17858945468,211707.64139983198,7791.372570113037
max,181923.58955657057,465519.5178965047,397409.8689235873,31889.786898009785
count,1000.0,1000.0,1000.0,1000.0
mean,7385.347681398223,174533.10225462366,168990.0562333736,7674.997747657904
std,11897.919666443486,45175.68075930465,50576.49652980459,3534.091255440884
min,0.0,84272.75028513932,27613.063184901348,2183.400691253763
25%,1235.5072805377413,144230.05353624653,132992.7467768635,5259.379818630046
50%,3509.9697250921663,169025.60434764545,166931.52180409292,6949.489540844264
75%,7729.375948363859,196057.51767490123,201155.35187486844,9113.945569721061
max,109888.71632828243,478440.1803700814,384710.2936685543,42479.43562378295
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,6640.6436432093105,193701.00081154404,195253.92730728246,7816.43759687611
std,11180.08062625376,51275.92878978408,53553.96597365734,3532.8807480270525
min,0.0,92425.84179876836,44560.67252213797,2044.7411075552918
25%,1058.3403100372998,159215.38376191328,158031.57275594297,5489.635755598358
50%,3350.50633317775,186679.94175977586,192915.2560387645,7011.833892199467
75%,7121.707801492294,219064.10590231378,227580.50889691623,9295.79266251441
max,137335.62743538283,704661.606200787,418939.8455833723,33000.57018893571
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,359.55151064741966,113788.93553951195,175767.99992599583,6929.013948975348
std,1778.8403034196017,27213.427117276115,53928.53907692379,3127.9462451953473
min,0.0,60987.500158728624,32841.3119768726,2399.978307440052
25%,0.0,94353.79403293008,138332.19170101808,4713.769463087135
50%,0.0,109811.26768143516,174529.75328943622,6287.394498238911
75%,0.0,128168.68856725022,210087.96837538225,8418.985509760616
max,33487.44607211689,235926.9958483167,405193.23407574126,31573.8459608354
count,1000.0,1000.0,1000.0,1000.0
mean,1552.2186160021492,144877.06547425277,169210.08151371556,5396.21278075083
std,3966.398344638879,37530.18528864483,53760.04052335974,2583.9701118043854
min,0.0,72491.71273038526,19204.437476308503,1394.536624007217
25%,0.0,119766.80078886435,130362.6591736706,3612.302528541136
50%,0.0,140145.5628067648,166737.25199594867,4836.931304346637
75%,1773.898485978828,164546.2385744101,205228.1907676433,6505.470551196678
max,60159.81505293008,609501.2861263644,355667.2212501039,21775.18686390741
