,B,C,D,E
min,0.0,4833.5483867346375,0.0,1725.9206222686332
25%,0.0,18837.8853129094,89877.87182359549,4700.899694121925
50%,0.0,24365.7860960525,119969.77782172424,6108.655731729424
75%,0.0,30238.005561198617,155841.71069404975,8201.735342690708
max,625.595872864127,115320.19471456554,284482.13778289576,22607.072932240488
count,1000.0,1000.0,1000.0,1000.0
mean,133252.0746445555,323352.9610803746,308993.9395893675,7170.7484717961715
std,74184.77667408108,67507.84102430829,64563.137387806644,3469.5269929722353
min,14040.179598296358,171502.90328787005,152143.67548822818,1816.6676938718251
25%,83430.70645244914,276406.1241817598,263456.5162952095,5013.641138911228
50%,120541.10647033068,318100.8369375926,305651.55677128275,6426.68903211637
75%,171979.11947038939,363497.0424781861,348311.5685702792,8448.247016140507
max,1108561.3691476784,717805.438428044,615302.6182794902,51281.07338221168
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,29883.995399576375,80509.10317973534,7922.174510327253
std,0.0,10141.910847834983,45568.910502892184,3563.167063983207
min,0.0,6741.002598909412,0.0,1515.580998201569
25%,0.0,23047.68595905442,46884.783424736044,5518.174286324567
50%,0.0,28850.05569675202,79039.04023129796,7106.446378441131
75%,0.0,35070.559909173426,110449.87499401788,9420.816937390699
max,0.0,122429.42329906883,244700.02776479488,29758.493834007546
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,38659.51332262804,21910.441474594383,5873.170726519235
std,0.0,10806.69591995194,32094.84781391183,2577.148641599774
min,0.0,15414.915421370455,0.0,1308.5372854378575
25%,0.0,31067.228691091237,0.0,4036.696661490995
50%,0.0,38088.94744057889,894.4710029354871,5322.799382268766
75%,0.0,45156.10901622963,42779.236708673234,7206.1232663842775
max,0.0,97380.75512216103,196364.83743108518,20877.892438703384
count,1000.0,1000.0,1000.0,1000.0
mean,22658.729621120165,226392.2144230085,202719.0951212557,7357.837850786235
std,21959.556445801714,60188.39344427235,53956.42729622653,3518.363806955829
min,0.0,100804.81300328343,57477.26902318018,2118.2521612454893
25%,8097.915460087671,184437.80307142387,164341.32242640984,5015.450566982467
50%,15167.448119808554,216337.0470621314,198676.73431074398,6337.23831195676
75%,29829.35317049389,257922.107249827,237623.50028852036,8856.57232024133
max,204525.3505714698,561856.7449864342,423890.864734335,27117.888053414907
count,74.0,74.0,74.0,74.0
mean,1760651.5841112037,607741.4654882752,403754.29818245536,6363.234098025117
std,179718.34221536262,60160.12296824401,83731.82344914148,2547.554516206172
min,1309433.394163583,449900.1756628284,233475.82231327822,2580.240627385133
25%,1639152.5038400255,566292.8110909223,345494.54420005134,4844.568960489872
50%,1754370.0109964027,602090.2782801797,397541.2208390503,5879.777227475169
75%,1867180.0840000827,653100.1248409468,449999.6814695382,7110.495664826523
max,2151315.736462567,799565.0122593758,757163.0949599901,16752.768257973272
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,39335.8343414913,28071.622664768496,5930.468655245672
std,0.0,10481.152034162162,34335.630724767325,2776.5775001670268
min,0.0,11709.122259923623,0.0,1621.8444817252926
25%,0.0,31542.29733699365,0.0,4017.2506479164754
50%,0.0,38541.9785608439,2191.3704181818152,5326.555490698756
75%,0.0,46307.28010611805,49751.66912735093,7087.883114429343
max,0.0,82775.16671546033,225884.03353208443,23042.694587827194
count,992.0,992.0,992.0,992.0
mean,240001.81015970279,391209.3201626435,354725.39255351166,7462.044878852667
std,89124.53984392491,69771.50435277993,71133.37376481894,3518.777681295177
min,39766.13141732928,231713.35728288957,188588.71328442686,2061.3177832885913
25%,178231.5125726572,345426.1931729127,302988.6878650687,5155.577796976086
50%,231163.65334754233,386631.2314230361,350649.3083979385,6631.811906781351
75%,289070.54434578406,430487.65299556823,399039.33046138723,8729.490682004629
max,897970.6463234923,821681.8273751131,792055.9803678279,29982.779334974453
count,17.0,17.0,17.0,17.0
mean,2042073.8060797427,674046.797681351,472037.3842133685,6168.259877323242
std,230660.0759453982,85157.91713163262,98862.21996013452,2323.892901408145
min,1694856.4622750855,564183.8555517114,325575.2685955073,3043.8332440796717
25%,1865072.6844590702,635769.6575665212,419023.0465665704,4484.390003410401
50%,1992426.14638555,656875.2168803348,474973.27025116916,5644.764087903683
75%,2200915.3477908666,694935.2866554975,509055.6754276181,7592.198946760333
max,2468537.3190983124,935255.446807035,717862.0972779976,11047.521488550252
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,14603.276607044541,76585.94773196515,6493.212047459334
std,0.0,7511.187532529999,49026.70946506246,3098.3813170311505
min,0.0,1352.0569701792842,0.0,1595.131482109053
25%,0.0,8906.712125609358,41919.163251116006,4449.4957707801295
50%,0.0,13331.772152531907,73190.1951690951,5826.209977312521
75%,0.0,18936.29332414186,106544.18860821829,7731.598871255407
max,0.0,54272.34540935022,261999.76030750223,35482.28183867624
count,999.0,999.0,999.0,999.0
mean,115137.13990212786,275507.22284636373,187813.0457635053,5170.812742969054
std,56071.48159024483,63444.68886469896,53620.49859100466,2481.9115658341925
min,13003.785137239476,138158.15167979454,60263.57621109874,1371.6756793593345
25%,75303.63119000156,229724.47146356874,150596.23014720308,3502.026191034312
50%,107442.03548097922,270206.1444317987,184408.5829092088,4565.900737313775
75%,146876.04275933834,314209.2686909921,222943.66778469487,6242.038569947922
max,359363.3237901382,667685.7862702307,400163.8385994341,19331.260648882002
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,48079.823139747525,52502.873324517896,7639.841142319399
std,0.0,12501.365157116024,45793.87944309752,3411.1553794900806
min,0.0,19174.236741710094,0.0,2526.6321563091606
25%,0.0,39448.69483107188,2137.985480784511,5284.067507395661
50%,0.0,46470.43501490247,47266.61517210458,6983.697071317432
75%,0.0,55344.47496432038,78587.31973218842,9282.544855733773
max,0.0,103820.33311098136,279788.6292635068,33428.87959162245
count,615.0,615.0,615.0,615.0
mean,1290206.1671848444,533235.9273895731,343279.0619966359,6661.267799905144
std,176866.36037552124,66030.72624325701,69351.78349914483,3145.1040489065294
min,814355.4602616715,335693.3923351673,168703.61371722777,2046.2705701033378
25%,1175461.4130354072,490734.42139365606,292992.5703518515,4549.113912489282
50%,1285589.8905266111,530879.4617927714,336316.2717093001,5800.674617727502
75%,1407842.9893492933,569013.6385863912,388277.96599850047,8045.964686837111
max,2074807.1791859784,1004649.3357165515,802827.4988095434,32843.42667723966
count,958.0,958.0,958.0,958.0
mean,455144.411280025,477608.42980408226,394160.0958114734,7161.103679059005
std,110563.89456815395,71941.63916652963,81012.5639336106,3178.884386520833
min,172038.49437509433,300587.5552890472,166503.34320895147,1763.4478032079144
25%,376278.64780783927,428380.018032579,341432.7001076983,4873.838352968551
50%,444372.28935272654,475150.01312372356,385918.56158593204,6534.838015768561
75%,523474.27422006737,518477.7279368892,437285.52273185557,8590.829854950209
max,1151118.58344822,857342.81665441,778545.8330387748,27237.208390151696
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,21733.82690737663,208031.61156910897,244183.61348072457,6594.275395171722
std,28317.027798733718,54654.00910051289,55257.67144107687,2920.642305817917
min,0.0,102491.1570153842,99391.11936705031,1705.9369767160297
25%,6138.089330213097,170481.10132146569,206078.3241987712,4577.555855192012
50%,12406.710592385662,199301.15222237422,239492.50392367283,6027.833474216959
75%,27013.838826726103,235193.16649316912,275276.482887676,7975.131605486977
