,B,C,D,E
25%,1451.821251658525,146911.19268289773,100539.5594716816,5026.479730096259
50%,3593.707340578092,171807.0038639109,135018.8112927029,6508.604814431457
75%,7266.768691276221,200833.3929695274,173319.12405281822,8726.972744996328
max,133368.81258661454,544033.166722906,300605.49759099836,51522.40476252041
count,973.0,973.0,973.0,973.0
mean,391194.48087477294,378075.1666969294,285171.1916226912,6769.187332689738
std,104141.39912669554,75478.53698912296,60085.60227093818,3085.7287404727986
min,136780.83351156145,207094.4580837915,126681.37008297628,1886.586761139118
25%,322974.7130958945,330839.1912524808,243403.67687837177,4638.658177903985
50%,380887.983723625,374230.54485314374,279748.2629573986,6011.702172608307
75%,451138.8735592187,417001.88757488766,326237.56633806264,8173.48142786639
max,1391857.3996991108,1494341.3362776118,499154.1060208613,30344.174114331865
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,1676.1521098888445,147336.83213741344,144701.90505467658,7201.932616622653
std,4403.506015097373,39717.50429529227,51259.68298568582,3196.6219848980118
min,0.0,71203.28630720844,3344.5433988759582,2137.2122723193165
25%,0.0,121443.21264483557,109207.73142063845,5057.985296265311
50%,0.0,142158.22560912964,143950.86589112796,6584.891851076873
75%,1813.0391324010307,165682.82060813074,177611.30577623114,8475.014972642786
max,56187.62809394995,706231.1428887355,307449.5625981697,28042.914325464717
count,1000.0,1000.0,1000.0,1000.0
mean,2124.6893689927683,123373.32521623262,207449.70500169843,7041.748237713944
std,6536.205139581695,33409.21379627285,53739.34949993409,3278.4063592193634
min,0.0,57579.135155694436,62580.49443940798,2097.0941399913218
25%,0.0,102431.33451207788,170413.28257163437,4867.267288549559
50%,0.0,118080.30622559326,206799.96316176833,6325.264322074739
75%,1609.813590829302,136277.82089354377,240960.7956883862,8458.178245705914
max,71548.65376498498,465694.9436885269,423984.3415886359,33587.56848953574
count,1000.0,1000.0,1000.0,1000.0
mean,133151.59929054245,437387.7144740157,429590.27365297236,7148.427321233341
std,131465.8929869746,73559.41537772842,83161.00298252529,3323.0070479267024
min,13387.362918120398,255103.02245069627,213090.07125406907,1750.2558458824815
25%,75808.48860368843,386290.8175240046,373025.4644475748,4874.7911453158995
50%,116515.18712982646,432156.56391555374,423000.78760831105,6558.1951017023375
75%,166503.5450022022,476204.0709602915,480407.18360046216,8504.598600030125
max,3491853.520518403,842711.1050212269,838975.1650026649,37665.107372681734
count,1000.0,1000.0,1000.0,1000.0
mean,98.82768791454401,73070.00708638612,184940.4690569763,6230.577113068104
std,857.2623406868958,21373.23601074618,53876.1073223539,2887.933890075617
min,0.0,33755.95054550851,35388.46789635488,1565.9478647766834
25%,0.0,59118.48328845807,148313.33945447652,4306.998160125358
50%,0.0,69560.5976600771,182951.47952181607,5619.340397529168
75%,0.0,82233.69957751749,220313.98352637573,7504.026509955762
max,21812.471083876455,273786.2216520139,392847.22114765807,30888.235133454516
count,1000.0,1000.0,1000.0,1000.0
mean,14180.153505192813,198487.53995929024,178185.40826088857,6405.40852954718
std,17651.19849330731,49903.387641100504,51277.36703509777,2960.951022703009
min,0.0,95221.14105751598,51144.25936250172,1780.3691415682038
25%,3910.092748922947,164155.66663432,142229.20126852457,4346.370102711569
50%,7956.585487722039,189996.60524536012,177037.011046007,5774.38995478287
75%,16260.641862132807,224949.8403972686,211533.2758180756,7854.045513513362
max,147202.1392198297,444865.8137533948,414844.4965725493,23988.00272390811
count,1000.0,1000.0,1000.0,1000.0
mean,6068.189335704284,171305.0922462091,165373.9135876357,7645.48188947556
std,12355.028236954471,44191.14889032335,50459.61918606686,3554.571922568354
