,B,C,D,E
50%,5442.763592538932,181576.5864104959,228107.11188984156,5003.261395437916
75%,12078.408664129662,213431.64600718155,269154.2465495956,6670.442452935795
max,298298.09925114294,583510.5728309186,476597.051418048,49123.34076965751
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,14740.819995692611,25180.660933509418,7012.019467290873
std,0.0,6774.699538952234,36567.873892757154,3245.341819566318
min,0.0,1605.1092193414963,0.0,1648.3755314924224
25%,0.0,9407.401910605815,0.0,4865.1013192725
50%,0.0,13851.116962839777,965.072662583314,6329.387432310825
75%,0.0,19194.54280342827,44779.10235989851,8296.600838797398
max,0.0,43096.00269104395,195900.47827964288,33839.13870336015
count,1000.0,1000.0,1000.0,1000.0
mean,7.807047517422709,53262.99461019301,81292.14780199996,8008.1027761063315
std,148.36173773108536,13446.63307228138,48355.29396970604,3433.2781464388677
min,0.0,19567.349674313828,0.0,1985.4444912842007
25%,0.0,43804.17775681157,47500.88353954979,5605.487050759684
50%,0.0,51932.44752631563,79845.18637104872,7379.926389891011
75%,0.0,60758.5725876404,110438.52505136323,9612.483131956764
max,4405.473727059946,119931.17141545101,261044.99322985025,30779.23392198151
count,1000.0,1000.0,1000.0,1000.0
mean,3.05895628621151,44712.63331302045,136661.1819572004,7742.562627821814
std,53.94896913846334,18644.721064824986,53103.584238338524,3456.6531898663457
min,0.0,17458.89278426179,3393.351353366791,1683.3876449735926
25%,0.0,35270.33628244151,96466.98198670606,5415.136981013902
50%,0.0,41923.80944263593,134589.010519755,7034.753079105865
75%,0.0,50473.05810809577,171680.78172223674,9265.684736689514
max,1435.867804172403,347858.5206042692,354556.669266051,26940.178203034964
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,31915.754873308655,41977.40195858811,7690.224061302648
std,0.0,9016.689924714417,42390.55533857408,3353.5798368154115
min,0.0,10004.414844019582,0.0,2116.825083383732
25%,0.0,25703.74357484617,890.120821461694,5274.634339723461
50%,0.0,31361.412120939523,39583.61223472179,7094.339700997635
75%,0.0,37203.48031335849,66991.97836529059,9201.840248773458
max,0.0,89964.70190802914,224300.9365191261,26200.760985607518
count,1000.0,1000.0,1000.0,1000.0
mean,4.051099911349758,25204.833243300032,123883.99962334018,6925.176360259844
std,59.020143822109816,9446.345975082115,50902.36918682361,3374.418309131192
min,0.0,6649.673396669926,957.5858951204139,2262.586852692018
25%,0.0,18391.871841428838,89085.5556514549,4568.660975037928
50%,0.0,24548.647054118577,120565.00617935587,6159.476980130419
75%,0.0,31011.451734632104,157614.7984495021,8319.262250941352
max,1435.3389612664023,81781.97211074135,344819.7765304526,38394.81256210997
count,1000.0,1000.0,1000.0,1000.0
mean,133209.97282700433,323579.0627589716,307314.63266500714,7173.477450111849
std,78550.54920430589,68963.69855928273,62452.358484719865,3472.362784949458
min,13385.874121986582,168349.2653953808,137310.3892911416,2040.938854244277
25%,81145.86508319374,276008.6690621591,261022.32689381854,4891.348688636685
50%,118553.71919300512,317709.3176566423,302645.1124045369,6420.212303413928
75%,169991.6783771526,363023.5063684031,347421.2947875823,8437.258154756613
max,1020847.0768771118,784782.2924405129,529120.0860323635,35498.59423865776
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,29709.048335168518,81851.58271936188,7976.3048445331715
std,0.0,11084.308516817004,46881.256661586754,3797.7607299198603
min,0.0,7376.485930561623,0.0,2303.2804508593053
25%,0.0,22760.070146592356,46923.224686005626,5361.608643914044
50%,0.0,28746.77598788309,78285.204305814,7089.598515627613
75%,0.0,34942.4366551302,112252.75331244299,9543.851772859123
max,0.0,183566.45244104366,272388.3549485465,44093.58867640722
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,38974.33658353474,22745.496369590255,5949.39040059256
std,0.0,10528.415600804507,33738.68707614103,3003.100980463375
min,0.0,10925.070168015449,0.0,1760.3488914310701
25%,0.0,31864.98929889915,0.0,4065.6663803664264
