S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed,collapsed,serviceFailure,Bm,DesignDm,earthquakeDm,gapRatio,Ss,Tshort
0.82978679,3.387240377,0.141883739,0.015296354,29.8190274,1.499273485,1.888334512,RSN4230_NIIGATA_NIGH13NS,15.83330936,0.065817286,0.065817286,74.54756849,74.54756849,W21X55,W21X44,W14X120,31.11297221,1.448374968,2.162662426,3.902950548,0.383687616,0.212604997,0.490220291,1.010586461,0.370451746,0.276721943,0.317694304,14.0241,0.00648141,0.00867359,0.007550449,0.357005694,0.130940217,0.16551294,0.236508799,33.6196,37.115,41.6254,45.6944,0,0,0,0,0,0,0,1,1,0.006044231,0.007982051,0.00524359,0,0,0,0,0,-1,-1,1.325651217,20.75203257,26.9122228,1.156090763,2.2815,0.363702297
0.833611858,3.149089092,0.11836762,0.024335866,44.67236895,0.417302932,1.438699211,RSN3760_LANDERS_BLC360,9.25050573,0.10452982,0.10452982,62.54131653,62.54131653,W24X55,W21X44,W14X120,8.542762421,1.387456755,2.646345295,3.574866407,0.315004946,0.233186856,0.49248006,0.733082321,0.362076233,0.204485035,0.289105873,9.98298,0.114025256,0.096624359,0.034854487,3.792934783,1.183198758,0.811723602,1.079409938,47.798,49.2636,54.2145,54.2903,1,1,0,1,1,1,1,1,1,0.106387359,0.087858974,0.024203846,1,1,1,0,0,1,1,1.255102861,20.47136929,22.35758398,0.38209685,2.2815,0.365378855
1.295243576,3.98339641,0.162267393,0.027656879,36.78661363,1.394884968,1.937467211,RSN138_TABAS_BOS-L1,9.081650736,0.082823789,0.082823789,106.6811795,106.6811795,W24X55,W18X40,W14X132,50.79327725,1.371024676,2.237602799,4.668960629,0.578853216,0.277415828,0.765202208,1.517581073,0.595068698,0.346937923,0.332570647,37.2537,0.009004487,0.012380769,0.009607051,0.594257246,0.212737319,0.223200052,0.264596273,60.9356,63.0908,66.0608,69.8899,0,0,0,0,0,0,1,1,1,0.000417372,0.000536603,0.000427756,0,0,0,0,0,-1,-1,1.386802178,36.41395413,37.24378716,1.363805379,2.2815,0.567715791
0.861070183,2.531405152,0.101999213,0.058230488,41.16050778,1.526551565,0.715244702,RSN1545_CHICHI_TCU120-E,1.740246437,0.371355229,0.371355229,45.27655856,45.27655856,W30X90,W21X44,W14X283,27.00490247,0.86805128,2.663057782,3.041676426,0.323338903,0.283090659,0.508701851,0.828375055,0.438964321,0.341686402,0.478417273,25.7033,0.005253205,0.006937179,0.006171795,0.770372671,0.298084886,0.301788302,0.393074534,49.5333,50.1756,50.638,56.1989,0,0,0,0,0,0,0,0,0,0.000593654,0.000412564,0.000170897,0,0,0,0,0,-1,-1,1.205997638,17.69013447,24.88061405,1.08537926,2.2815,0.377414062
0.95777923,2.671644571,0.17093908,0.04414986,16.64130249,0.523600775,1.956686556,RSN779_LOMAP_LGP000,0.777308686,0.083734361,0.083734361,48.25977721,48.25977721,W24X62,W21X44,W14X145,9.28187617,1.275236511,1.267887425,3.140284269,0.755413463,0.30499762,0.565835488,0.813783896,0.68592152,0.358175987,0.349445858,10.6316,0.031323462,0.027315385,0.038461538,3.758514493,1.455564182,1.650113872,1.852864907,44.6736,42.2003,41.4035,52.8062,0,0,0,1,1,1,1,1,1,0.019124391,0.015788077,0.019611218,1,1,1,0,0,-1,1,1.412817241,17.72701001,17.27939979,0.53716427,2.2815,0.419802424
1.1383289,2.789616682,0.179122668,0.062267886,39.67138385,0.714628412,0.653570789,RSN36_BORREGO_A-ELC180,5.19976129,0.156632034,0.156632034,55.53993739,55.53993739,W30X99,W21X55,W14X283,15.45261483,0.835337046,2.209928386,3.368829258,0.515097642,0.337900443,0.672500372,0.948522255,0.790586803,0.331307061,0.492054767,17.7548,0.039646795,0.039310897,0.039534615,4.00621118,2.52614648,2.284089027,2.40625,67.0722,62.126,63.5156,69.9608,0,0,0,1,1,1,1,1,1,0.017932564,0.018631218,0.018501795,1,1,1,0,0,-1,1,1.437368005,21.62328642,26.07425532,0.592638779,2.2815,0.498938812
1.012323207,2.987633146,0.162119471,0.039540187,39.03591809,0.624919256,1.577062856,RSN187_IMPVALL.H_H-PTS225,6.4312898,0.130026071,0.130026071,62.45746894,62.45746894,W24X62,W18X40,W14X145,13.34357584,1.290992193,2.356045656,3.572469237,0.429670454,0.283367929,0.598058903,0.707479823,0.600453821,0.352786097,0.423356289,15.502,0.096503205,0.077669872,0.049730128,4.364699793,1.712686335,0.880988613,1.077298137,59.4533,64.0185,69.7145,70.1128,1,1,0,1,1,1,1,1,1,0.074329385,0.053432051,0.031530769,1,1,1,0,0,1,1,1.386358412,21.35247988,26.67856176,0.500160989,2.2815,0.443709493
0.87220091,3.796701851,0.174013955,0.039286468,42.27134066,1.509267031,1.664828283,RSN1107_KOBE_KAK000,4.206189343,0.048211894,0.048211894,97.22408351,97.22408351,W21X50,W21X44,W14X109,34.39965712,1.542655008,1.264552014,4.457211438,0.689731146,0.195683091,0.515277647,0.991898944,0.740208065,0.116207831,0.153128087,9.79493,0.006854596,0.00883109,0.008004103,1.477065217,0.200015528,0.187888716,0.254207557,30.8858,30.6236,34.2666,42.2072,0,0,0,0,0,0,0,1,1,0.000322141,0.000404949,0.000196314,0,0,0,0,0,-1,-1,1.422041864,22.79229349,15.19262586,2.264233808,2.2815,0.38229275
1.079431897,3.435299613,0.14581778,0.039538456,17.87373984,1.35291126,1.530090981,RSN1148_KOCAELI_ARE000,10.21003728,0.058772948,0.058772948,75.06970732,75.06970732,W21X62,W18X40,W14X132,36.71368019,1.375853994,1.093290694,3.916595032,0.987323776,0.275604674,0.637705282,1.190800732,1.082304147,0.312415943,0.426147041,34.8326,0.012444872,0.017461538,0.013160897,0.916048137,0.322432712,0.281560559,0.397779503,74.2523,75.3717,74.8972,78.0047,0,0,0,0,0,0,1,1,1,0.001100488,0.001892819,0.001459051,0,0,0,0,0,-1,-1,1.337453339,27.13679846,36.80335913,0.997563295,2.2815,0.473123777
0.812268427,3.056175375,0.127789559,0.019617699,29.35518184,0.580345141,1.030486849,RSN575_SMART1.45_45M01EW,2.696975084,0.072102762,0.072102762,58.71036367,58.71036367,W21X68,W21X44,W14X145,10.98727875,1.289918238,2.089587721,3.463647546,0.388721861,0.234512437,0.479870817,0.9240047,0.362101161,0.264802211,0.239183732,11.7098,0.01925641,0.01691859,0.015689744,1.690235507,0.811733954,0.85248706,0.970331263,35.7671,33.6104,38.4697,43.037,0,0,0,0,0,0,1,1,1,0.003983949,0.001849981,0.000419032,1,1,1,0,0,-1,-1,1.283368678,18.93231797,17.03782399,0.644875704,2.2815,0.356023856
